property_name,breadcrumbs,price,image_url,description,seller_name,location,property_type,bathrooms,bedrooms
PG FOR MEN WITH HOMELY FOOD AND FREE WI-FI,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Calicut Civil Station,PG FOR MEN WITH HOMELY FOOD AND FREE WI-FI","{'amount': '5500', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/qe33jkypketp-IN/image;s=850x0,"PG FOR MEN WITH FOOD AND ACCOMMODATION,FREE WIFI AND ELECTRICITY ADVANCE 5500/- RENT 5500 Three sharing room",Sindhu Mohan Kumar,"Calicut Civil Station, Kozhikode, Kerala",Individual House / Villa,2,2
3 bhk ground floor flat for rent,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Karaparamba,3 bhk ground floor flat for rent","{'amount': '18000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/42gg3fs799rn2-IN/image;s=850x0,3 bhk ground floor flat at karaparamba.,SHAJI KS,"Karaparamba, Kozhikode, Kerala",Flats / Apartments,3,3
പെണ്കുട്ടികള്ക്ക് അശോകപുരം വീടിനു മുകളിൽ ഫർനിഷേഡ്,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Asokapuram,പെണ്കുട്ടികള്ക്ക് അശോകപുരം വീടിനു മുകളിൽ ഫർനിഷേഡ്","{'amount': '18000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/4z0v6exyw2ec-IN/image;s=850x0,"നടക്കാവ് അശോക പുരം അടുത്തു , വീടിനു മുകളിൽ 2 ബെഡ്റൂം 2 ബാത്രൂം ഉള്ള വീട്,50k അഡ്വാൻ,Girls ഒൺലി , വർക്കിങ് or studying girls",Property hunt,"Asokapuram, Kozhikode, Kerala",Individual House / Villa,2,2
Well Maintenaned Heritage House from good Location,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Malaparamba,Well Maintenaned Heritage House from good Location","{'amount': '15000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/8httj71wf86m-IN/image;s=850x0,"Good Well water, Walkable Distance from IQRA Hospital, 8KM for Kozhikode Railway Station, 6KM KSRTC Bustand, 6KM Private Bustand, 5 KM Only at Medical Collage Hospital.",Jinil Nk,"Malaparamba, Kozhikode, Kerala",Individual House / Villa,3,4
"No family  , only bachelor's","Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Kuttuli Kailkat Stream,No family  , only bachelor's","{'amount': '4000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/ug9nf24ng57d3-IN/image;s=850x0,One room with attached bathroom,Abhiram K,"Kuttuli Kailkat Stream, Kozhikode, Kerala",Independent / Builder Floors,1,1
Bed space for rent near calicut railway station,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Panniyankara,Bed space for rent near calicut railway station","{'amount': '4000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/7zp0fo3im62r2-IN/image;s=850x0,"Bed space for rent near calicut railway station, 300 meter from railway station,3 sharing rooms,₹ 4000 per bed,Advance 4000 & per rent",Siyad,"Panniyankara, Kozhikode, Kerala",Flats / Apartments,1,2
Lady flat mate required,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Ashokapuram,Lady flat mate required","{'amount': '4500', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/ytiyy66jq6q42-IN/image;s=850x0,"1 room available for sharing -,Rent 4500",Ranjana,"Ashokapuram, Kozhikode, Kerala",Flats / Apartments,2,2
FARNISHD 3 BHK HOUSE MALAPARAMB HOUSING COLANI,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Malaparamba,FARNISHD 3 BHK HOUSE MALAPARAMB HOUSING COLANI","{'amount': '15000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/ocdkkvvkf7zn1-IN/image;s=850x0,"3BHK house, two bath attached rooms, one common bathroom, solar water heater, storage water tanks, car parking (small car) , interlocked, furnished,For small families only",Manu,"Malaparamba, Kozhikode, Kerala",Individual House / Villa,3,3
3 BHK independent house near kovoor bypass road 30 k office use,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Chevayoor,3 BHK independent house near kovoor bypass road 30 k office use","{'amount': '30000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/p8pi0eelo16d2-IN/image;s=850x0,"Doctor preference area,Safe,Office use",Pro Rent Buy n Sell,"Chevayoor, Kozhikode, Kerala",Individual House / Villa,3,3
4 Bhk luxury furnished flat for Rent At  Malaparamba,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Malaparamba,4 Bhk luxury furnished flat for Rent At  Malaparamba","{'amount': '70000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/rbcksg9j58871-IN/image;s=850x0,"4 Bhk luxury furnished flat for Rent At Malaparamba,4 bhk attached ,Balcony ,Bed with cott,Sofa,Ac,Table with chairs,Amenites,Swimming pool ,Covers car parking ,Lift,Landscaped Garden,Multi purpose play court,Rent-70000/,More Details ,Endless properties ,2Nd floor kairali Complex,Thonda yad, Calicut",Endless properties,"Malaparamba, Kozhikode, Kerala",Flats / Apartments,4,4
NEWLY COMPLETED 2 BHK SEMI FURNISHED APARTMENT,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Mankavu,NEWLY COMPLETED 2 BHK SEMI FURNISHED APARTMENT","{'amount': '18000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/9ndumj1g2dlj1-IN/image;s=850x0,"NEWLY BUILT AND FINISHED SEMI FURNISHED LIVING SPACES FOR LADIES ONLY, 2 KM FROM LULU MALL, 2.5 KM FROM HILITE MALL, 3 KM FROM MIMS HOSPITAL",BAITH DEVELOPERS,"Mankavu, Kozhikode, Kerala",Flats / Apartments,2,2
Rent for House near mudappattu palam karaparamba,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Karaparambu,Rent for House near mudappattu palam karaparamba","{'amount': '8000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/5hkod5j935w2-IN/image;s=850x0,Upstairs of house for rent @Rs 8000/- and advance 30000/- . House located only 1 km far from Meitra Hospital and Homoeo medical College calicut,OLX user,"Karaparambu, Kozhikode, Kerala",Individual House / Villa,1,3
3 Bhk Semi furnished flat  for Rent At Methottuthazham,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Pottammal,3 Bhk Semi furnished flat  for Rent At Methottuthazham","{'amount': '26000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/eita10c6v7722-IN/image;s=850x0,"3Bhk flat  for Rent At Methottuthazham ,3 bhk Attached,Balcony ,Modular kitchen ,Amenites,Swimming pool,Gym,Covered car parking ,Security ,Childrens play Area,Indoor Games ,Power back up,Rent_26000 including ,More Details ,Endless properties ,2Nd floor  kairali Complex,Thondayad, Calicut",Endless properties,"Pottammal, Kozhikode, Kerala",Flats / Apartments,3,3
New 2bhk fully furnished luxury flat rent in karaparamb,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Karaparamba,New 2bhk fully furnished luxury flat rent in karaparamb","{'amount': '34000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/limv6xicj6vf2-IN/image;s=850x0,"New 2bhk fully furnished luxury for rent in karaparamb ,Near to meitra hospital ,2bhk,Attached bathroom ,Modular kitchen,Balcony,Pool,Gym,Indoor games,Landscape garden,Power backup,Security etc,Suitable for family,Prefer doctors, bank employees, govt employees,business professionals",Faisal,"Karaparamba, Kozhikode, Kerala",Flats / Apartments,3,2
4bhk premium luxury flat near kozhilode beach,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Calicut Beach,4bhk premium luxury flat near kozhilode beach","{'amount': '60000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/o92q0pesthk52-IN/image;s=850x0,"Spacious 4bhk Fully furnished premium luxury flat near calicut beach,Modular kitchen ,Execellent view from balcony ,Key amenities ,*tennis Court ,*jogging track,*badminton Court ,*indoor games,*children pool,*pool side party area,*land scape garden,*kids play,*fire rescue helipad ,*centralized cooking gas supply system ,*3 high speed elevator,*24 hour security service, *garbage disposal facilities ,Rent-60k",sameer,"Calicut Beach, Kozhikode, Kerala",Flats / Apartments,4,4
3Bhk House For Rent Furnished,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Calicut Beach,3Bhk House For Rent Furnished","{'amount': '3500', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/jn715xef4k1i-IN/image;s=850x0,"This is a 3BHK first floor of a house in the 6th gate. It is a furnished house allowed for women only. Rent is Rs.3500 per month. For more information, contact Happy Clients Realtors.",Happy Clients Realtors,"Calicut Beach, Kozhikode, Kerala",Independent / Builder Floors,3,3
3bhk fully furnished flat for rent at Cyberpark,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,3bhk fully furnished flat for rent at Cyberpark","{'amount': '35000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/owr72b41df2j3-IN/image;s=850x0,3bhk fully furnished flat for rent at Cyberpark,FAISAL,"Thondayad, Kozhikode, Kerala",Flats / Apartments,3,3
1 BHK fully furnished flat. Thondayad,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,1 BHK fully furnished flat. Thondayad","{'amount': '19000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/i0d6eqdnsbf43-IN/image;s=850x0,"24 hrs security,Visitor’s Car park,Landscaped area,Kid’s play area,CCTV Surveillance,Intercom facility,Yoga room,Fitness centre,Visitor’s lounge,Home care office,Driver’s room,Led lighting in common area,Passenger lifts-3 nos,Wheel chair friendly ramps,Generator back up,Sewage treatment plant,Association hall,Roof top party area,Library room",Violet properties,"Thondayad, Kozhikode, Kerala",Flats / Apartments,1,1
UPSTAIRE FOR RENT PAROPPADY  CALICUT,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Paropadi,UPSTAIRE FOR RENT PAROPPADY  CALICUT","{'amount': '15000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/as62tjiortou1-IN/image;s=850x0,"UPSTAIRE FOR RENT PAROPPADY CALICUT,RENT 15000,ADVANECE 45000,MOB 6    2   8   2   9   1   0   7   7    9",HEAVEN REAL ESTATE AGENT,"Paropadi, Kozhikode, Kerala",Individual House / Villa,2,2
DOUBLE STOREYED HOUSE FOR RENT MANKAVU CALICUT,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Mankavu,DOUBLE STOREYED HOUSE FOR RENT MANKAVU CALICUT","{'amount': '18000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/9npmvbibjcmd1-IN/image;s=850x0,"DOUBLE STOREYED HOUSE FOR RENT MANKAVU CALICUT,RENT 18000,ADVANCE 55000,MOB 6    2   8   2   9   1   0   7   7    9",HEAVEN REAL ESTATE AGENT,"Mankavu, Kozhikode, Kerala",Individual House / Villa,3,3
3 BHK semi furnished flat,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Chevayoor,3 BHK semi furnished flat","{'amount': '23000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/hozo5mof2p2b1-IN/image;s=850x0,"24 hrs security,Visitor’s Car park,Landscaped area,Kid’s play area,CCTV Surveillance,Intercom facility,Yoga room,Fitness centre,Visitor’s lounge,Home care office,Generator back up,Association hall,Library room",Violet properties,"Chevayoor, Kozhikode, Kerala",Flats / Apartments,3,3
3 BHK villa,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,3 BHK villa","{'amount': '25000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/zmdsyjrg733b2-IN/image;s=850x0,"24 hrs security,Visitor’s Car park,CCTV Surveillance,Visitor’s lounge,Home care office,Wheel chair friendly ramps,Generator back up,Association hall,Roof top party area,Library room",Violet properties,"Thondayad, Kozhikode, Kerala",Individual House / Villa,3,3
BACHELORS ALLOWED DOUBLE STOREYED HOUSE FOR RENT POTTAMMAL CALICUT,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Pottammal,BACHELORS ALLOWED DOUBLE STOREYED HOUSE FOR RENT POTTAMMAL CALICUT","{'amount': '30000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/antbgsgd827k-IN/image;s=850x0,"BACHELORS ALLOWED DOUBLE STOREYED HOUSE FOR RENT POTTAMMAL CALICUT,RENT 30000,ADVANCE 90000,MOB 6    2   8   2   9   1   0   7   7    9",HEAVEN REAL ESTATE AGENT,"Pottammal, Kozhikode, Kerala",Individual House / Villa,4,4
4 BHK duplex flat,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Calicut Beach,4 BHK duplex flat","{'amount': '35000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/s3pb7m2ucwqp1-IN/image;s=850x0,"24 hrs security,Visitor’s Car park,Landscaped area,Kid’s play area,CCTV Surveillance,Intercom facility,Fitness centre,Visitor’s lounge,Home care office,Driver’s room,Led lighting in common area,Passenger lifts-3 nos,Generator back up,Association hall,Library room",Violet properties,"Calicut Beach, Kozhikode, Kerala",Flats / Apartments,4,4
2 BHK FURNISHED FLAT FOR RENT NEAR CALICUT BEACH,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Calicut Beach,2 BHK FURNISHED FLAT FOR RENT NEAR CALICUT BEACH","{'amount': '27000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/3lidc8rbgj9g1-IN/image;s=850x0,"RENT 27000+ MNC,ADVANCE 3 MONTHS RENT,ANOTHER FLAT FOR RENT :-,* 3 bhk furnished flat for rent near calicut beach 30000+ mnc,* 2 bhk furnished flat for rent malapparab 23000+ mnc,* 1 bhk furnished flat for rent thondayad byepass near hilite mall 20000+mnc,* 4 bhk furnished flat for rent near ymca town 60000+ mnc,* 3 bhk furnished flat for rent near karaparamb rent 30000+ mnc,* 2 bhk furnished flat for rent near mankave 25000+ mnc,* 3 bhk semi furnished flat for rent near meenchanda 27000+ mnc,* 2 bhk furnished flat for rent at karaparamb 25000+ mnc,* 3 bhk semi furnished  flat for rent near puspha junction 25000+ mnc,* 2 bhk furnished flat for rent near meenchanda rent 25000+ mnc,* 2 bhk semi furnished flat for rent near methoduthzam rent 18000,* 2 bhk furnished flat for rent near cyber park and hilite mall rent 26000+ mnc,* 3 bhk semi furnished flat for rent HILITE city rent 35000,* 2 bhk furnished flat for rent nadakave rent 25000+ mnc,* 3 bhk furnished flat for rent near west hill 35000,* 2 bhk furnished flat for rent kottoli rent 30000,* 2 bhk semi furnished flat for rent near calicut beach 20000+ mnc,* 2 bhk semi furnished flat for rent near karaparamb 20000+ mnc,* 3 bhk furnished flat for rent near sarovaram park 35000+ mnc,* 2 bhk furnished flat for rent HILITE city 30000+ mnc,* studio flat for rent land mark world 20000,* 3 bhk semi furnished flat for rent near pottamal rent 26000",JAZZ ASSOCIATES,"Calicut Beach, Kozhikode, Kerala",Flats / Apartments,2,2
2 BHK Beach view flat,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Calicut Beach,2 BHK Beach view flat","{'amount': '25000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/ogss6233gkc33-IN/image;s=850x0,"24 hrs security,Visitor’s Car park,Landscaped area,Kid’s play area,CCTV Surveillance,Intercom facility,Yoga room,Fitness centre,Visitor’s lounge,Home care office,Driver’s room,Led lighting in common area,Passenger lifts-3 nos",Violet properties,"Calicut Beach, Kozhikode, Kerala",Flats / Apartments,2,2
പുതിയ വീട് വാടകക്ക്,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Malaparamba,പുതിയ വീട് വാടകക്ക്","{'amount': '30000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/fyik5royb2p52-IN/image;s=850x0,"4 ബെഡ്റൂം 4 ബാത്രൂം ,,കിണർ വെള്ളം,മലാപ്പറമ്പ് അടുത്തു",Property hunt,"Malaparamba, Kozhikode, Kerala",Individual House / Villa,4,4
2 BHK furnished flat Near Mananchira,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Mananchira,2 BHK furnished flat Near Mananchira","{'amount': '22000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/gr9dg7s8ic9c2-IN/image;s=850x0,"24 hrs security,Visitor’s Car park,Landscaped area,Kid’s play area,CCTV Surveillance,Intercom facility,Yoga room,Fitness centre,Visitor’s lounge,Home care office,Driver’s room,Led lighting in common area,Passenger lifts-3 nos,Wheel chair friendly ramps,Generator back up",Violet properties,"Mananchira, Kozhikode, Kerala",Flats / Apartments,2,2
"3 BHK SEMI FURNISHED FLAT FOR RENT NEAR POTTAMAL, CALICUT","Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Pottammal,3 BHK SEMI FURNISHED FLAT FOR RENT NEAR POTTAMAL, CALICUT","{'amount': '27000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/5vf21v4ymkiq3-IN/image;s=850x0,"3 bhk semi furnished flat for rent near pottamal, calicut..,Rent 27000,Advance 3 month rent,Amenities :-,Swamming pool,Gym,Childrens play area,Games room,Party hall,Opan area,Garden,Visitors car parking,Grand lobby,Guest room,24 hrs security,CCTV,Waste management",JAZZ ASSOCIATES,"Pottammal, Kozhikode, Kerala",Flats / Apartments,3,3
